Asset,Tax_rate
Mainframes,0.479046124
PCs,0.479046124
DASDs,0.479046124
Printers,0.479046124
Terminals,0.479046124
Tape drives,0.479046124
Storage devices,0.479046124
System integrators,0.479046124
Communications,0.339244799
Nonelectro medical instruments,0.479046124
Electro medical instruments,0.479046124
Nonmedical instruments,0.479046124
Photocopy and related equipment,0.479046124
Office and accounting equipment,0.339244799
Nuclear fuel,0.479046124
Other fabricated metals,0.339244799
Steam engines,0.09553632
Internal combustion engines,0.130818187
Metalworking machinery,0.339244799
Special industrial machinery,0.805569876
General industrial equipment,0.479046124
Electric transmission and distribution,0.09553632
Light trucks (including utility vehicles),0.479046124
"Other trucks, buses and truck trailers",0.479046124
Autos,0.479046124
Aircraft,0.479046124
Ships and boats,0.234567413
Railroad equipment,0.339244799
Household furniture,0.479046124
Other furniture,0.339244799
Other agricultural machinery,0.339244799
Farm tractors,0.339244799
Other construction machinery,0.479046124
Construction tractors,0.805569876
Mining and oilfield machinery,0.339244799
Service industry machinery,0.479046124
Household appliances,0.479046124
Other electrical,0.479046124
Other,0.479046124
Office,0.036045748
Hospitals,0.034997168
Special care,0.034997168
Medical buildings,0.034997168
Multimerchandise shopping,0.036045748
Food and beverage establishments,0.339244799
Warehouses,0.036045748
Mobile structures,0.479046124
Other commercial,0.036045748
Manufacturing,0.036045748
Electric,0.149573241
Wind and solar,0.479046124
Gas,0.339244799
Petroleum pipelines,0.339244799
Communication,0.479046124
Petroleum and natural gas,0.339244799
Mining,0.339244799
Religious,0.055198437
Educational and vocational,0.034997168
Lodging,0.036045748
Amusement and recreation,0.339244799
Air transportation,0.036045748
Other transportation,0.036045748
Other railroad,0.09553632
Track replacement,0.339244799
Local transit structures,0.036045748
Other land transportation,0.479046124
Farm,0.09553632
Water supply,0.09553632
Sewage and waste disposal,0.09553632
Public safety,0.036045748
Highway and conservation and development,0.130818187
Prepackaged software,0.805569876
Custom software,0.805569876
Own account software,0.805569876
Pharmaceutical and medicine manufacturing,0.479046124
"Chemical manufacturing, ex. pharma and med",0.479046124
Semiconductor and other component manufacturing,0.479046124
Computers and peripheral equipment manufacturing,0.479046124
Communications equipment manufacturing ,0.479046124
Navigational and other instruments manufacturing,0.479046124
"Other computer and electronic manufacturing, n.e.c.",0.479046124
Motor vehicles and parts manufacturing ,0.339244799
Aerospace products and parts manufacturing,0.339244799
Other manufacturing,0.339244799
Scientific research and development services,0.026885451
Software publishers,0.026885451
Financial and real estate services,0.026885451
Computer systems design and related services,0.026885451
"All other nonmanufacturing, n.e.c.",0.026885451
Private universities and colleges,0.026885451
Other nonprofit institutions,0.026885451
Theatrical movies,0.026885451
Long-lived television programs,0.026885451
Books,0.026885451
Music,0.026885451
Other entertainment originals,0.026885451
