Industrial sector,"Number
of returns","Business
receipts","Depreciation
deduction","Rent paid
on machinery
and
equipment","Rent paid
on other
business
property","Interest paid
deduction",Payroll,"Net income
less deficit","Number
of returns","Business
receipts","Depreciation
deduction ","Rent paid
on machinery
and
equipment","Rent paid
on other
business
property","Interest paid
deduction",Payroll,"Net income
"
      All nonfarm industries,23553850,1301569749,35581830,8754711,34370947,9357479,110371136,304895911,17570854,1111641923,23228451,6745175,27014243,5802818,88481385,357074821
"Agriculture, forestry, hunting, and fishing",300083,20908373,1615083,180780,176861,211594,1738455,1488488,189924,16849825,929892,137687,109772,131088,1306925,3165333
   Animal production (including breeding of cats and dogs),48084,1331354,178370,1498,27085,17363,74969,-405483,20392,952904,30701,726,2062,6209,59878,174289
"   Forestry and logging (including forest nurseries, timber tracts)",46133,4984574,417402,92323,11037,59499,460337,216984,30969,3883734,290005,67442,6374,42383,261031,470351
"   Fishing, hunting, and trapping",68362,3128164,346946,17624,57507,41637,107125,524787,37861,2543823,129708,13313,45243,17209,72538,917344
   Support activities for agriculture and forestry,137504,11464281,672366,69335,81231,93096,1096024,1152200,100702,9469365,479477,56206,56093,65286,913478,1603349
Mining,110908,14092831,1095347,66359,85177,158452,1146622,1246455,74419,10782853,602305,42133,53072,73741,878434,2988758
   Oil and gas extraction,89771,10064375,857936,27987,56295,120005,597957,495489,59585,7456997,431873,17990,30220,48762,452931,2089231
   Other mining,3172,978238,56315,6903,4451,10325,152550,30230,1577,702582,30795,4867,939,4322,115181,76714
   Support activities for mining,17965,3050218,181096,31469,24431,28121,396114,720735,13257,2623274,139637,19276,21913,20656,310322,822813
Utilities,14828,789278,120285,5434,5409,11306,19112,31791,9505,453696,15723,1435,2809,2926,13399,115573
Construction,2648742,188517429,5037968,1049838,1456162,1039622,21007273,33804626,2195548,167527083,3985681,846044,1192407,681206,17975005,38177430
   Construction of buildings,494324,49286419,865580,185352,276966,325051,5462045,6791087,410670,43245697,711405,149616,248721,196187,4745013,7837122
   Heavy and civil engineering construction  ,66441,8094440,376991,75867,56449,99330,1109603,821725,45200,5927689,263192,56514,39342,43146,964919,1343428
   Specialty trade contractors,2087978,131136570,3795396,788619,1122748,615241,14435625,26191814,1739678,118353696,3011084,639913,904344,441873,12265074,28996880
Manufacturing,364007,27493193,1079899,92829,750036,231135,3131926,3382663,239636,23316714,726006,58442,610362,142891,2449136,4680885
   Food manufacturing,53382,3970679,193362,12992,129163,47876,376551,5123,29629,3054314,61520,2910,100268,23530,222076,398462
   Textile and textile product mills,8167,651497,25650,8140,10050,6571,60254,117401,5809,583712,14005,6795,8009,3851,41798,148650
   Apparel,26364,1481320,50920,8138,115601,7319,123139,206478,17579,1329268,47062,2897,109137,5623,106444,310888
