Codes:,tax_exempt_general_partners,partnership_general_partners,individual_general_partners,other_limited_partners,corporate_general_partners,partnership_limited_partners,individual_limited_partners,other_general_partners,corporate_limited_partners,tax_exempt_limited_partners
1,2103494000.0,106154000000.0,83792696000.0,131788318000.0,94440747000.0,344662139000.0,291199705000.0,9520084000.0,236425766000.0,78976841000.0
11,8029000.0,979274000.0,2876711000.0,1119989000.0,845322984.859,59843984.8595,2120329015.14,-99394984.8595,786350000.0,-17005015.1405
111,4072872.40106,496756513.598,1459269751.87,568137039.182,428807155.937,30357069.9096,1075579714.4,-50420113.4186,398891918.368,-8626137.35777
1111,814574.480213,99351302.7196,291853950.373,113627407.836,85761431.1874,6071413.98191,215115942.881,-10084022.6837,79778383.6736,-1725227.47155
11111,116367.782888,14193043.2457,41693421.4819,16232486.8338,12251633.0268,867344.854559,30730848.9829,-1440574.6691,11396911.9534,-246461.067365
111110,116367.782888,14193043.2457,41693421.4819,16232486.8338,12251633.0268,867344.854559,30730848.9829,-1440574.6691,11396911.9534,-246461.067365
11112,116367.782888,14193043.2457,41693421.4819,16232486.8338,12251633.0268,867344.854559,30730848.9829,-1440574.6691,11396911.9534,-246461.067365
111120,116367.782888,14193043.2457,41693421.4819,16232486.8338,12251633.0268,867344.854559,30730848.9829,-1440574.6691,11396911.9534,-246461.067365
11113,116367.782888,14193043.2457,41693421.4819,16232486.8338,12251633.0268,867344.854559,30730848.9829,-1440574.6691,11396911.9534,-246461.067365
111130,116367.782888,14193043.2457,41693421.4819,16232486.8338,12251633.0268,867344.854559,30730848.9829,-1440574.6691,11396911.9534,-246461.067365
11114,116367.782888,14193043.2457,41693421.4819,16232486.8338,12251633.0268,867344.854559,30730848.9829,-1440574.6691,11396911.9534,-246461.067365
111140,116367.782888,14193043.2457,41693421.4819,16232486.8338,12251633.0268,867344.854559,30730848.9829,-1440574.6691,11396911.9534,-246461.067365
11115,116367.782888,14193043.2457,41693421.4819,16232486.8338,12251633.0268,867344.854559,30730848.9829,-1440574.6691,11396911.9534,-246461.067365
111150,116367.782888,14193043.2457,41693421.4819,16232486.8338,12251633.0268,867344.854559,30730848.9829,-1440574.6691,11396911.9534,-246461.067365
11116,116367.782888,14193043.2457,41693421.4819,16232486.8338,12251633.0268,867344.854559,30730848.9829,-1440574.6691,11396911.9534,-246461.067365
111160,116367.782888,14193043.2457,41693421.4819,16232486.8338,12251633.0268,867344.854559,30730848.9829,-1440574.6691,11396911.9534,-246461.067365
11119,116367.782888,14193043.2457,41693421.4819,16232486.8338,12251633.0268,867344.854559,30730848.9829,-1440574.6691,11396911.9534,-246461.067365
111191,58183.8914438,7096521.62283,20846710.741,8116243.41689,6125816.51339,433672.427279,15365424.4915,-720287.334552,5698455.97669,-123230.533682
111199,58183.8914438,7096521.62283,20846710.741,8116243.41689,6125816.51339,433672.427279,15365424.4915,-720287.334552,5698455.97669,-123230.533682
