"Page: 78  March 10, 2016"
""
"L.104 Nonfinancial Noncorporate Business"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted"
""
"","2010","2011","2012","2013","2014","2015","2014","2015","2015","2015","2015",""
"Description","","","","","","","Q4","Q1","Q2","Q3","Q4",""
"Nonfinancial noncorporate business; total financial assets","3728.3","3925.1","4226.3","4531.0","4774.5","5114.8","4774.5","4855.1","4945.7","5005.9","5114.8","1"
"Nonfinancial noncorporate business; checkable deposits and currency; asset","531.6","556.3","615.5","627.6","663.2","704.1","663.2","671.5","682.9","690.2","704.1","2"
"Nonfinancial noncorporate business; total time and savings deposits; asset","356.2","362.2","372.3","383.8","410.1","477.5","410.1","428.8","437.1","455.2","477.5","3"
"Nonfinancial noncorporate business; money market mutual fund shares; asset","76.8","77.7","80.7","82.7","86.7","91.7","86.7","88.1","89.4","90.1","91.7","4"
"Nonfinancial noncorporate business; debt securities; asset","53.7","54.8","59.0","59.5","62.4","67.1","62.4","63.4","64.7","65.5","67.1","5"
"Nonfinancial noncorporate business; total U.S. government securities; asset","48.1","48.9","52.9","55.2","57.9","62.1","57.9","58.8","59.9","60.7","62.1","6"
"Nonfinancial noncorporate business; municipal securities; asset","5.6","5.9","6.1","4.4","4.6","4.9","4.6","4.6","4.7","4.8","4.9","7"
"Nonfinancial noncorporate business; loans; asset","42.1","36.3","33.9","34.8","36.5","39.3","36.5","37.1","37.9","38.4","39.3","8"
"Nonfinancial noncorporate business; total mortgages; asset","42.1","36.3","33.9","34.8","36.5","39.3","36.5","37.1","37.9","38.4","39.3","9"
"Nonfinancial noncorporate business; consumer credit; asset","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10"
"Nonfinancial noncorporate business; trade receivables; asset","533.4","594.4","598.9","647.8","679.4","729.8","679.4","689.9","703.8","713.3","729.8","11"
"Nonfinancial noncorporate business; total miscellaneous assets","2134.4","2243.6","2466.0","2694.8","2836.1","3005.4","2836.1","2876.2","2930.0","2953.2","3005.4","12"
"Nonfinancial noncorporate business; insurance receivables due from property-casualty insurance companies; asset","131.7","127.0","142.5","116.5","129.4","118.7","129.4","126.0","123.8","121.6","118.7","13"
"Nonfinancial noncorporate business; equity in Farm Credit System; asset","6.7","7.0","7.2","7.7","8.5","9.0","8.5","8.6","8.7","8.9","9.0","14"
"Nonfinancial noncorporate business; unidentified miscellaneous assets","1996.0","2109.5","2316.4","2570.5","2698.2","2877.7","2698.2","2741.6","2797.5","2822.7","2877.7","15"
"Nonfinancial noncorporate business; total liabilities","5672.2","5643.0","5884.3","6068.7","6357.1","6742.7","6357.1","6449.9","6553.5","6623.5","6742.7","16"
"Nonfinancial noncorporate business; loans; liability","3950.9","3886.6","4057.3","4162.0","4371.5","4687.3","4371.5","4428.8","4517.8","4579.5","4687.3","17"
"Nonfinancial noncorporate business; depository institution loans n.e.c.; liability","927.4","900.9","968.0","1000.4","1064.6","1164.5","1064.6","1086.7","1115.4","1125.0","1164.5","18"
"Nonfinancial noncorporate business; other loans and advances; liability","170.8","171.3","180.6","186.6","196.1","203.2","196.1","194.3","195.8","197.8","203.2","19"
"Nonfinancial noncorporate business; total mortgages; liability","2852.7","2814.3","2908.8","2975.0","3110.9","3319.6","3110.9","3147.8","3206.6","3256.7","3319.6","20"
"Nonfinancial noncorporate business; trade payables; liability","427.8","482.7","493.5","527.5","563.5","616.6","563.5","579.0","592.3","601.0","616.6","21"
"Nonfinancial noncorporate business; taxes payable; liability","99.2","99.7","107.4","110.5","114.4","123.1","114.4","118.2","119.9","121.0","123.1","22"
"Nonfinancial noncorporate business; U.S. real estate owned by foreigners; liability","5.3","6.1","6.3","7.1","7.9","9.1","7.9","8.5","9.1","9.2","9.1","23"
"Nonfinancial noncorporate business; unidentified miscellaneous liabilities","1189.0","1168.0","1219.7","1261.5","1299.8","1306.7","1299.8","1315.4","1314.5","1312.7","1306.7","24"
