NAICS,corp,non_corp
11,0.544233307681,0.645332287347
211,,0.622540970102
212,,0.682788305267
213,,0.864931679619
22,0.287759878896,0.734792755616
23,0.365651991383,0.874907328104
31-33,0.316905624525,0.623038731224
32411,,
336,,0.632777697508
3391,,
42,0.368676823623,0.561686632404
44-45,0.447676580954,0.790217363263
48-49,0.508985665358,0.830807220523
51,0.749813603833,0.686077336335
52,0.504462693715,0.268020769995
531,,0.460617192781
532,,0.864035686632
533,,0.296955679306
54,0.444294655697,0.784154110854
55,0.449370019214,0.596228829806
56,0.547328992713,0.854951024474
61,0.401415789268,0.849773053205
62,0.669010177915,0.929906576756
71,0.702008967218,0.934185672103
72,0.73002165609,0.930608584214
81,0.744134206504,0.956450996361
92,,
