NAICS,corp,non_corp
11,0.00884552384921,0.18201251541
211,,0.193242936982
212,,0.16355606258
213,,0.0738049148676
22,0.00750455252681,0.13793086967
23,0.00791181143695,0.0688894140765
31-33,0.00765694105783,0.192997665189
32411,,
336,,0.188198789553
3391,,
42,0.00792762677232,0.223228911883
44-45,0.00834067700352,0.110620394252
48-49,0.00866123155132,0.0906197420874
51,0.00992040042764,0.161935392521
52,0.00863758319409,0.367932765585
531,,0.273030878257
532,,0.0742464154123
533,,0.353675089022
54,0.00832299460731,0.113608061877
55,0.00834953114546,0.206208244113
56,0.0088617096384,0.0787228826904
61,0.00809880245419,0.0812743280333
62,0.00949791971523,0.0417885343035
71,0.0096704538851,0.0396800100713
72,0.00981691822887,0.0414426201284
81,0.0098907056987,0.0287087715431
92,,
