,Asset Type,delta,z_c,z_c_d,z_c_e,z_nc,rho_c,rho_c_d,rho_c_e,rho_nc,metr_c,metr_c_d,metr_c_e,mettr_c,mettr_c_d,mettr_c_e,mettr_nc,Economic deprecia- tion rate [],Corporate: total [z(c)],"Corporate: debt-financed [z(c,d)]","Corporate: equity-financed [z(c,e)]",Non-corporate [z(n)],Corporate: total [(c)],"Corporate: debt-financed [(c,d)]","Corporate: equity-financed [(c,e)]",Non-corporate [(n)],Corporate: total [ETR(c)],"Corporate: debt-financed [ETR(c,d)]","Corporate: equity-financed [ETR(c,e)]",Corporate: total [ETTR(c)],"Corporate: debt-financed [ETTR(c,d)]","Corporate: equity-financed [ETTR(c,e)]",Non-corporate [ETTR(n)],delta_diff,z_c_diff,z_c_d_diff,z_c_e_diff,z_nc_diff,rho_c_diff,rho_c_d_diff,rho_c_e_diff,rho_nc_diff,metr_c_diff,metr_c_d_diff,metr_c_e_diff,mettr_c_diff,mettr_c_d_diff,mettr_c_e_diff,mettr_nc_diff
0,Nonmedical instruments,0.135,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0825364933086,0.0511746075112,0.104823585897,0.0790057092381,0.231370301101,-0.0552108286935,0.332211358722,0.316531284855,0.122772610878,0.385481061944,0.276218382382,0.135,0.828402350608,0.881437807377,0.794517321993,0.829014528109,0.0704889411095,0.0392571853894,0.09268212638,0.0667604962698,0.10000066675,-0.375544361227,0.244730319274,0.199718751204,-0.143529952317,0.304980847837,0.143464628181,0.0,-0.00343129523534,-0.00246510342242,-0.00399928482222,-0.00787830004876,0.0120475521991,0.0119174221219,0.0121414595169,0.0122452129682,0.13136963435,0.320333532533,0.0874810394475,0.11681253365,0.266302563195,0.0805002141069,0.132753754201
1,Photocopy and related equipment,0.18,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0811601103863,0.0504934596627,0.102876193015,0.0780349473475,0.218335217904,-0.0694454363147,0.319570466711,0.30494043483,0.110938968407,0.373848537737,0.267214472784,0.18,0.869691707904,0.91109091429,0.842652525558,0.866548608514,0.069464256729,0.038796116898,0.0911813907903,0.0663512262265,0.086724554651,-0.391891877788,0.232299492327,0.187913605159,-0.157120117317,0.293541671836,0.138181315594,0.0,3.30334038849e-05,2.36344133554e-05,3.86120420518e-05,0.000192110267799,0.0116958536573,0.0116973427647,0.0116948022251,0.011683721121,0.131610663253,0.322446441474,0.0872709743838,0.117026829671,0.268059085724,0.0803068659005,0.12903315719
2,Office and accounting equipment,0.3119,0.824971055372,0.878972703954,0.790518037171,0.82113622806,0.0992086734726,0.0627029229492,0.124777548556,0.0905311489862,0.36053978166,0.138796128472,0.439001640841,0.431389322529,0.284056225373,0.483752650746,0.368362373904,0.3119,0.869617782915,0.911037786605,0.842566385006,0.86621189634,0.0787336820043,0.0451204602096,0.102374406382,0.0728079473645,0.194245735941,-0.196796303697,0.316235351452,0.283521659583,0.00506849602503,0.370781671182,0.214608726586,0.0,-0.0446467275427,-0.032065082651,-0.052048347835,-0.0450756682793,0.0204749914683,0.0175824627396,0.0224031421744,0.0177232016217,0.166294045719,0.335592432168,0.122766289389,0.147867662946,0.278987729348,0.112970979564,0.153753647318
3,Steam engines,0.0516,0.563432176046,0.672658908559,0.503475158859,0.556405157281,0.0894222312288,0.054671351251,0.114210918829,0.0838448180514,0.290556731494,0.0122797632698,0.387098880583,0.369160104159,0.178879498875,0.435990189476,0.317991482809,0.0516,0.644565627927,0.740889368144,0.58878579337,0.642269672834,0.0731478273552,0.0400174972006,0.0969250409757,0.0688126977882,0.132715183843,-0.349409727681,0.277792412617,0.228808566747,-0.121803472899,0.335405461283,0.169009087955,0.0,-0.0811334518809,-0.0682304595852,-0.0853106345104,-0.0858645155531,0.0162744038736,0.0146538540504,0.0172858778535,0.0150321202632,0.157841547651,0.361689490951,0.109306467966,0.140351537412,0.300682971774,0.100584728192,0.148982394854
4,Internal combustion engines,0.2063,0.640204603668,0.73755141548,0.583909226066,0.633720785601,0.115064663785,0.073723971965,0.143604705067,0.101484616959,0.448657842353,0.267538107881,0.512550790258,0.509744267451,0.391083169559,0.551434762122,0.436536474719,0.2063,0.824579188513,0.878695464255,0.790056486269,0.812334321406,0.0776109948511,0.0441562211135,0.101234749993,0.0727884503241,0.182590042535,-0.222930736333,0.308537829105,0.273157393155,-0.016657816371,0.363698207365,0.214398352476,0.0,-0.184374584844,-0.141144048775,-0.206147260204,-0.178613535806,0.0374536689336,0.0295677508515,0.0423699550739,0.0286961666347,0.266067799817,0.490468844214,0.204012961153,0.236586874296,0.40774098593,0.187736554757,0.222138122243
5,Special industrial machinery,0.15,0.918464068432,0.945139606677,0.900613674044,0.916510766449,0.0737252461479,0.0457817898679,0.0934734570747,0.0728635191664,0.139507789872,-0.179508275141,0.2511243064,0.234846758991,0.019440535944,0.310862348472,0.215205624329,0.1031,0.843684910316,0.892222267173,0.812540800414,0.843924376249,0.0662559748235,0.0364547062091,0.0874726393952,0.0639154141141,0.0425014473183,-0.481290226019,0.199749767654,0.148590327625,-0.231439558966,0.263588553602,0.105337463773,0.0469,0.0747791581156,0.0529173395037,0.0880728736304,0.0725863902001,0.00746927132441,0.00932708365878,0.00600081767948,0.00894810505228,0.0970063425542,0.301781950878,0.0513745387467,0.0862564313664,0.25088009491,0.0472737948707,0.109868160555
6,General industrial equipment,0.15,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0790556638997,0.0490576177571,0.100335049854,0.0765787306456,0.19752745255,-0.100746478709,0.302337517127,0.286438083604,0.0849175033596,0.357990265788,0.253279865684,0.1072,0.824941466765,0.878951770475,0.790483186945,0.819864334332,0.0682189987247,0.0376644549621,0.0899911273011,0.0655694267044,0.0700537799447,-0.433712503056,0.222145537017,0.173089918177,-0.191886816935,0.284197733385,0.127905651012,0.0428,0.0447832745436,0.0321627782284,0.0522079506552,0.0468763844501,0.010836665175,0.011393162795,0.0103439225525,0.0110093039411,0.127473672605,0.332966024347,0.0801919801101,0.113348165428,0.276804320295,0.0737925324027,0.125374214672
7,Electric transmission and distribution,0.05,0.563432176046,0.672658908559,0.503475158859,0.556405157281,0.0890461112573,0.0543893343107,0.113783143581,0.0835862863777,0.287560129194,0.00715828416761,0.384794638321,0.366495512969,0.174621864647,0.43386975732,0.315882036259,0.05,0.60380567879,0.706784933844,0.545774264588,0.631534858743,0.0751045868076,0.0412413408071,0.0993499705959,0.0690145131174,0.155311244006,-0.309365770929,0.295420022974,0.248901029682,-0.0885137693859,0.351626854935,0.171439108786,0.0,-0.0403735027435,-0.0341260252848,-0.0422991057285,-0.0751297014625,0.0139415244497,0.0131479935036,0.0144331729855,0.0145717732603,0.132248885188,0.316524055097,0.089374615347,0.117594483286,0.263135634033,0.0822429023846,0.144442927474
8,Light trucks (including utility vehicles),0.1925,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.082036963089,0.0510917271233,0.103935002666,0.0786417043067,0.226690047861,-0.0569225790635,0.326502158038,0.312369584269,0.121349583112,0.380227285936,0.272868250536,0.1725,0.869644856704,0.9110591511,0.84259576532,0.864515513866,0.0689437032446,0.0384405038604,0.0905533606438,0.0661550753927,0.079828947179,-0.404768267244,0.226975128231,0.181782016884,-0.167824633606,0.288642051059,0.135626009707,0.02,7.98846037765e-05,5.53976039896e-05,9.53722803486e-05,0.00222520491623,0.0130932598444,0.0126512232629,0.0133816420223,0.012486628914,0.146861100682,0.34784568818,0.0995270298072,0.130587567385,0.289174216718,0.0915852348773,0.137242240828
9,"Other trucks, buses and truck trailers",0.1725,0.869724741308,0.911114548704,0.8426911376,0.866740718782,0.0806339987647,0.0501344991863,0.102240907225,0.077670893172,0.213235099686,-0.0771026115039,0.31534253852,0.300405388565,0.104573336424,0.369957872665,0.263779806076,0.1725,0.869611574008,0.911036070536,0.84255602992,0.864513434253,0.0689477464676,0.0384430056159,0.0905585491701,0.0661552476746,0.0798829077055,-0.404676849139,0.22701941847,0.181829998695,-0.167748635081,0.288682808109,0.135628260715,0.0,0.000113167300248,7.84781670979e-05,0.00013510768002,0.00222728452917,0.0116862522971,0.0116914935704,0.0116823580549,0.0115156454975,0.13335219198,0.327574237635,0.0883231200504,0.11857538987,0.272321971506,0.0812750645556,0.128151545361
