Asset,corp,non_corp,corp_assets,non_corp_assets
Mainframes,0.14615751779532998,0.13969696900578737,9355367326.5139866,14322632673.486015
PCs,0.09285992894302221,0.10120426594578734,34852945289.67128,39349054710.32872
DASDs,0.14054724528456075,0.1356451055257874,0.0,0.0
Printers,0.16018319907225298,0.14982662770578736,5998304706.850317,7143695293.149683
Terminals,0.1377421090291761,0.13361917378578736,7929488391.0638371,9618511608.9361629
Tape drives,0.14054724528456075,0.1356451055257874,0.0,0.0
Storage devices,0.14054724528456075,0.1356451055257874,4940399177.6377926,6262600822.3622074
System integrators,0.14615751779532998,0.13969696900578737,18905816080.131081,21215183919.868916
Communications,0.1058172632416958,0.11149763485464409,323822511602.57678,277191488397.42322
Nonelectro medical instruments,0.0998727695814838,0.10626909529578737,75334069608.604019,169814930391.39597
Electro medical instruments,0.1134496290575453,0.11607460491738736,37467731534.081207,103254268465.91879
Nonmedical instruments,0.0998727695814838,0.10626909529578737,80573136846.850281,87517863153.149704
Photocopy and related equipment,0.11249588273071454,0.11538578812578737,17370073608.856205,17742926391.143795
Office and accounting equipment,0.1766197243950035,0.1626327456875885,4785713656.8906441,5046286343.1093559
Nuclear fuel,0.13213183651840688,0.12956731030578733,6404766976.2065744,408233023.79342616
Other fabricated metals,0.09827448848566503,0.10605007530862184,100823820109.51923,53011179890.480759
Steam engines,0.0971327461038092,0.10685593388412679,87551131114.710266,11034868885.28974
Internal combustion engines,0.1676354040812337,0.15753847863739776,11612550328.334488,2306449671.6655126
Metalworking machinery,0.10233050887334191,0.1089794233663885,194315149128.3002,65110850871.699791
Special industrial machinery,0.06919404209128543,0.08192773829413882,251619669831.24951,82182330168.750519
General industrial equipment,0.10408047396456069,0.10930799290578733,416254233417.5509,175053766582.44916
Electric transmission and distribution,0.09635351585642461,0.10629315648323794,406860992181.34253,57859007818.657433
Light trucks (including utility vehicles),0.1160023030499453,0.11791820280078735,108256015341.96567,137151984658.03436
"Other trucks, buses and truck trailers",0.11039203053917607,0.11386633932078738,105123007956.94698,67377992043.053032
Autos,0.15549862152576072,0.14644332169998736,80035506162.333008,103764493837.66699
Aircraft,0.08609955056754529,0.09632177045238732,245694441832.02222,107094558167.97778
Ships and boats,0.09356038515528935,0.10334575426401836,49802126725.880013,29436873274.119984
