NAICS,corp,non_corp
11,0.076897789599,0.0613480704516
21,0.0749140844443,0.0597807434701
22,0.0626918562359,0.051914321213
23,0.0852610071158,0.067043092682
31-33,0.0825311872807,0.0640920108269
42,0.0792348285966,0.0630035664219
44-45,0.0709440723221,0.0574460265017
48-49,0.0676318748879,0.0535453386877
51,0.0830084774955,0.0644237818444
52,0.0799891622745,0.0627821024517
53,0.0808087197584,0.0558043850915
54,0.0981025684004,0.0753591329008
55,0.0689544937652,0.0
56,0.0766839090204,0.0613253094867
61,0.0660232206046,0.0541474335921
62,0.0706472194012,0.0572304843161
71,0.0762822241769,0.0622953659057
72,0.0683312016787,0.055657848068
81,0.0689408571898,0.0561032119624
