NAICS,corp,non_corp,corp_assets,non_corp_assets
11,0.09545073267,0.104611176967,1.15979594293e+11,4.32858405707e+11
21,0.0930290009675,0.102114172993,9.86559437484e+11,7.65939562516e+11
22,0.0839669582883,0.0967008634049,1.98742896453e+12,1.19089035467e+11
23,0.101469325181,0.108325966628,91535564509.3,1.88103435491e+11
31-33,0.0991808344173,0.105695926246,2.83858063098e+12,6.09339369019e+11
42,0.0969426508361,0.105426745341,3.15890007129e+11,2.66707992871e+11
44-45,0.0911972646834,0.102111753408,6.69081888734e+11,5.47052111266e+11
48-49,0.087053515607,0.0968690718876,8.72612949441e+11,3.57483050559e+11
51,0.0999598089364,0.106420655176,1.16702748784e+12,7.88917512164e+11
52,0.0978852530885,0.105792361631,4.37030158808e+11,8.11719841192e+11
53,0.0980553593527,0.100809376231,3.58037862541e+11,1.23860313746e+12
54,0.112945357866,0.116798573214,45771574730.5,5.35471425269e+11
55,0.0888846998254,0.0,4.03044e+11,0.0
56,0.0945456397192,0.10354497974,61471451861.4,2.17303548139e+11
61,0.0877052379455,0.100029743277,1.20285673363e+11,4.19258326637e+11
62,0.0909588262801,0.101936305798,3.59807901263e+11,1.03997509874e+12
71,0.0949563917005,0.105624510555,93323456934.0,2.13765543066e+11
72,0.0884228670116,0.100521126284,1.9662202682e+11,3.8403397318e+11
81,0.0898667433989,0.101391347332,89984856920.1,5.0825914308e+11
