"Page: 116  March 10, 2016"
""
"L.211 Agency- and GSE-Backed Securities (1)"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted"
""
"","2010","2011","2012","2013","2014","2015","2014","2015","2015","2015","2015",""
"Description","","","","","","","Q4","Q1","Q2","Q3","Q4",""
"All sectors; U.S. government agency securities; liability","7605.5","7584.5","7560.3","7798.2","7948.4","8152.9","7948.4","7904.9","7959.9","8047.1","8152.9","1"
"Federal government; budget agency securities; liability","24.2","25.3","24.9","24.5","24.4","24.6","24.4","24.1","24.7","24.1","24.6","2"
"Government-sponsored enterprises; GSE issues; liability","6434.5","6247.3","6092.7","6200.2","6275.5","6352.9","6275.5","6234.6","6258.0","6293.5","6352.9","3"
"Agency-and GSE-backed mortgage pools; total mortgages; asset","1146.8","1311.9","1442.7","1573.5","1648.5","1775.5","1648.5","1646.2","1677.2","1729.5","1775.5","4"
"All sectors; agency- and GSE-backed securities; asset","7605.5","7584.5","7560.3","7798.2","7948.4","8152.9","7948.4","7904.9","7959.9","8047.1","8152.9","5"
"Households and nonprofit organizations; agency- and GSE-backed securities; asset","347.0","363.4","302.3","298.4","99.7","134.6","99.7","96.5","102.3","120.4","134.6","6"
"Nonfinancial corporate business; agency- and GSE-backed securities; asset","16.0","14.3","13.1","8.9","11.7","9.7","11.7","9.5","8.6","8.6","9.7","7"
"Federal government; agency- and GSE-backed securities; asset","149.2","31.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8"
"State and local governments, excluding employee retirement funds; agency- and GSE-backed securities; asset","516.7","502.8","482.4","452.9","438.7","427.4","438.7","441.1","441.6","442.8","427.4","9"
"Monetary authority; agency- and GSE-backed securities; asset","1139.6","941.7","1003.4","1547.4","1775.5","1780.4","1775.5","1768.8","1768.0","1776.3","1780.4","10"
"U.S.-chartered depository institutions; agency- and GSE-backed securities; asset","1527.2","1634.1","1669.6","1717.3","1760.3","1924.7","1760.3","1815.0","1845.5","1861.5","1924.7","11"
"Foreign banking offices in the U.S.; agency- and GSE-backed securities; asset","26.5","30.6","32.1","25.4","20.5","23.1","20.5","19.3","23.3","20.9","23.1","12"
"Banks in U.S.-affiliated areas; agency- and GSE-backed securities; asset","12.8","4.8","2.6","1.9","1.7","1.8","1.7","1.5","1.8","1.8","1.8","13"
"Credit unions; agency- and GSE-backed securities; asset","151.5","182.1","197.0","199.2","187.5","175.1","187.5","190.1","186.9","178.3","175.1","14"
"Property-casualty insurance companies; agency- and GSE-backed securities; asset","115.8","122.7","114.3","109.5","105.2","105.9","105.2","104.8","105.2","105.5","105.9","15"
"Life insurance companies; agency- and GSE-backed securities; asset","376.0","374.4","360.9","354.1","339.1","339.1","339.1","338.6","342.4","341.9","339.1","16"
"Private pension funds; agency- and GSE-backed securities; asset","183.9","174.6","176.7","171.0","160.8","154.3","160.8","159.1","155.9","154.1","154.3","17"
"Federal government retirement funds; agency- and GSE-backed securities; asset","5.8","6.5","8.1","6.4","5.9","6.0","5.9","6.0","6.1","6.0","6.0","18"
"State and local government employee retirement funds; agency- and GSE-backed securities; asset","164.6","137.3","112.0","114.6","109.8","101.4","109.8","107.7","106.1","102.3","101.4","19"
"Money market mutual funds; agency- and GSE-backed securities; asset","402.8","403.7","343.5","361.3","384.6","460.1","384.6","323.4","333.9","392.6","460.1","20"
"Mutual funds; agency- and GSE-backed securities; asset","679.3","794.0","879.8","854.2","929.3","943.9","929.3","917.3","914.7","925.5","943.9","21"
"Government-sponsored enterprises; agency- and GSE-backed securities; asset","377.0","358.9","310.6","287.9","295.7","272.6","295.7","292.6","285.8","281.4","272.6","22"
"Issuers of asset-backed securities; agency- and GSE-backed securities; asset","3.6","0.3","0.3","0.1","0.1","0.0","0.1","0.1","0.1","0.1","0.0","23"
"Mortgage real estate investment trusts; agency- and GSE-backed securities; asset","143.4","248.1","357.6","261.9","269.8","229.2","269.8","260.1","241.8","234.8","229.2","24"
"Security brokers and dealers; agency- and GSE-backed securities; asset","149.8","147.7","169.6","114.2","121.9","109.7","121.9","124.3","125.5","122.8","109.7","25"
"Holding companies; agency- and GSE-backed securities; asset","21.1","33.1","22.9","28.0","28.0","23.7","28.0","31.0","29.6","30.3","23.7","26"
"Rest of the world; agency- and GSE-backed securities; asset","1095.8","1078.2","1001.2","883.8","902.6","930.2","902.6","898.3","934.7","939.1","930.2","27"
