YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,a.net_incm_IND,a.net_incm,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2013,3,1,12,0,3895,0,1462265240,0,163360307,0,434361392,0,7612843,0,100185268,0,61163239,0,33259760,0,61502247,0,5743402,0,55632428,0,286178302,0,347076189,0,179334462,0,13971595,0,5089433,0,24474056,0,46344342,0,10422962,0,31472414,0,1462265240,0,170407465,0,64095813,0,516841968,0,10011134,0,175384947,0,81141159,0,444382754,0,10516986,0,131443164,0,323790776,0,21368172,0,1190141402,0,1142987835,0,1210569,0,5840469,0,40102529,0,1127124277,0,830757288,0,9800370,0,104000671,0,5782937,0,3669711,0,15471286,0,16740983,0,11109652,0,3084558,0,22006823,0,433205,0,8963395,0,5320652,0,12822420,0,592009,0,76568317,0,63017125,0,79153973,0,84002967,0,4848994,0,61806555,0,70066048,0,8259493,0,15936783,0,4321450,0,3400984,0,813832,0,1284131,0,6116387,0,1040534,0,1366452,0,325918,0,370101,0,537955,0,167854,0,40475,0,24001,0,15508
2013,3,1,11,0,4005,0,278325032,0,29057196,0,69084218,0,1359095,0,42503128,0,5246299,0,3382491,0,17399863,0,2742856,0,3830773,0,39919827,0,104936722,0,60364905,0,1634155,0,697429,0,7261018,0,9482706,0,2742363,0,7007573,0,278325032,0,29700395,0,26932118,0,53110339,0,8423230,0,39629052,0,9468723,0,111061176,0,3212146,0,27233994,0,85005614,0,4390579,0,442851079,0,435008047,0,160217,0,916427,0,6766388,0,424115847,0,326577612,0,4907762,0,32721085,0,1770425,0,665860,0,5891793,0,6217852,0,2315078,0,637647,0,7089001,0,77989,0,3030714,0,1336493,0,4497814,0,191588,0,26187136,0,18735232,0,22193328,0,24479380,0,2286052,0,18575015,0,21207449,0,2632434,0,3157261,0,705005,0,734902,0,130015,0,85843,0,1501497,0,405556,0,573333,0,167778,0,55496,0,101085,0,45589,0,15372,0,10833,0,4255
2013,3,1,10,0,8344,0,286601886,0,32346134,0,64173274,0,1007761,0,57526731,0,1206297,0,1089945,0,19003892,0,3903357,0,2721441,0,32780920,0,121524490,0,71768876,0,1404346,0,563526,0,8452164,0,9569516,0,2914247,0,7153787,0,286601886,0,35682705,0,40474446,0,30970204,0,11253794,0,44339572,0,8744881,0,115136285,0,6870805,0,30555707,0,85304341,0,7594568,0,551693976,0,541445124,0,77345,0,900086,0,9271421,0,527878998,0,404606070,0,7027198,0,44891503,0,2266221,0,881568,0,8110328,0,7917936,0,2615954,0,676451,0,7754685,0,99720,0,3871855,0,1567047,0,5061157,0,87677,0,30443627,0,23814978,0,27581808,0,30805696,0,3223888,0,23737633,0,27299488,0,3561854,0,3258670,0,664139,0,644262,0,245958,0,42695,0,1661616,0,567957,0,697241,0,129284,0,17548,0,76001,0,58453,0,6133,0,3551,1,2394
2013,3,1,9,0,26839,0,409906142,0,52387157,0,90718895,0,1482182,0,87365264,0,238660,0,961461,0,26066722,0,6428547,0,2590755,0,41815773,0,185582955,0,113357080,0,1173635,0,484810,0,14965038,0,14103204,0,4657417,0,5489565,0,409906142,0,50873207,0,63239219,0,36077641,0,20245132,0,69151585,0,12527054,0,157792305,0,8804359,0,46615523,0,110980947,0,8608525,0,886794825,0,871261662,0,104386,0,1216467,0,14212309,0,849076331,0,649656630,0,14069083,0,70204140,0,3543448,0,1295868,0,14304579,0,13426369,0,4168159,0,944947,0,10295108,0,54835,0,6101605,0,2304772,0,9045252,0,238911,0,49422624,0,37718494,0,42509116,0,47404500,0,4895384,0,37614108,0,42892494,0,5278386,0,3709280,0,844471,0,914630,0,188954,0,72358,0,1688867,0,1136862,0,1481990,0,345128,0,48865,0,116710,0,67844,0,20806,0,15952,0,4724
2013,3,1,8,0,42403,0,298746793,0,42920844,0,63582970,0,674407,0,56603790,1,116274,1,485398,0,18443548,0,6001504,0,2400764,0,24126749,0,154813152,0,95734842,0,483337,0,231560,0,13176162,0,9447354,0,3930638,0,6716395,0,298746793,0,38787378,0,35760976,0,23853403,0,23469307,0,59842584,0,11074315,0,105958832,0,8776994,0,33640088,0,69595807,0,6054057,0,630412490,0,621568529,0,34358,0,914937,0,7894666,0,600154120,0,432027772,0,14175902,0,59441199,0,3343972,0,1168408,0,12618157,0,11229777,0,3308739,0,540109,0,7090601,1,4237,0,3997199,0,1734673,0,6580957,0,47730,0,42844687,0,30258370,0,34817880,0,39530968,0,4713088,0,30224013,0,35540437,0,5316424,0,3514411,0,435361,0,696939,0,817367,0,46123,0,1518622,0,1060473,0,1283139,0,222665,0,18982,0,38378,0,19396,0,5210,0,4790,1,406
2013,3,1,7,0,262729,0,555049342,0,86765550,0,96322465,0,1077712,0,73921092,1,58395,0,535076,0,40589607,0,14758309,0,5057745,0,44682652,0,352737766,0,223089394,0,1025642,0,401078,0,37850144,0,25534882,0,11140992,0,10919192,0,555049342,0,65833295,0,40982242,0,47110956,0,64332085,0,139044225,0,18830017,0,178916522,0,22017363,0,85822941,0,83852469,0,12776251,0,1229551850,0,1210143472,0,54531,0,1829135,0,17524712,0,1166971104,0,743964140,0,42297842,0,144215851,0,8544105,0,2311615,0,29837656,0,28832040,0,7014847,0,1503760,0,13159492,0,77986,0,9348541,0,4048850,0,12194432,0,116355,0,119503592,0,62580745,0,70942402,0,84103661,0,13161259,0,62526214,0,75694340,0,13168126,0,5096213,0,337231,0,1093969,0,208974,0,138572,0,3317468,0,2926752,0,4091666,0,1164914,0,393222,0,546388,0,153166,0,18365,0,17788,1,215
2013,3,1,6,0,247689,0,173699160,0,33051865,0,18809974,0,113201,0,20665461,1,987,1,36739,0,10181738,0,8485995,0,1535261,0,10070582,0,142193415,0,97004106,0,118764,0,59157,0,13676621,0,13951882,0,6307641,0,4403983,0,173699160,0,16057526,0,11257712,0,13031447,0,34741424,0,49884412,0,3396987,0,45329652,0,9179404,0,27641616,0,13652532,0,5143900,0,451903345,0,445741301,0,12266,0,739486,0,5410293,0,425631422,0,238675703,0,23105288,0,56341181,0,4117281,0,418303,0,14701657,0,11248491,0,2750977,0,857208,0,5618024,1,5443,0,3951984,0,1781090,0,3648458,0,114678,0,58295656,0,26271923,0,29387483,0,35967264,0,6579781,0,26259658,0,32792458,0,6532800,0,1626878,0,66483,0,257184,0,16656,0,50877,0,1235678,0,1553759,0,1919296,0,365537,0,-52812,0,107991,1,160803,1,3425,1,1113,1,2284
2013,3,1,5,0,365881,0,129414554,0,29822641,0,13257825,0,1064785,0,13039157,0,0,1,6993,0,7319435,0,8771159,0,586447,0,6114580,0,119208845,0,83619701,1,238076,1,30919,0,6441413,0,12461274,0,5722477,0,2584591,0,129414554,0,9967164,0,9139188,0,12189629,0,26549322,0,32356730,0,2958815,0,36253706,0,9896091,0,23579990,0,4592127,0,1814503,0,418828995,0,410920130,0,9569,0,423407,0,7475889,0,389691436,0,183298359,0,31369989,0,63131409,0,3397994,0,378114,0,17312496,0,11935767,0,2288312,0,738673,0,5110558,1,1709,0,3851557,0,2881668,0,3631871,1,7118,0,60355840,0,29137560,0,31896991,0,37318785,0,5421794,0,29127991,0,34619207,0,5491216,0,1931422,0,79818,0,151275,0,113050,0,-38108,0,1625388,0,731896,0,1015959,0,284064,0,105682,0,111090,1,5409,0,0,0,0,0,0
2013,3,1,4,0,600856,0,94790383,0,28067411,0,7279887,0,41005,0,9505580,0,0,1,17583,0,4702332,0,6765424,0,118743,0,3110098,0,104749394,0,79430614,1,45307,1,33076,0,2664699,0,13486019,0,7795801,0,1578401,0,94790383,0,7466543,0,6413370,0,10860958,0,27849788,0,20294378,0,1619532,0,20285815,0,7535507,0,31254726,0,-16013040,0,2491379,0,448388976,0,440729703,0,3292,0,556515,0,7099466,0,415290514,0,178809510,0,37935420,0,67444794,0,4056711,0,373044,0,21258359,0,13331396,0,1961693,0,783302,0,4850064,1,4547,0,4610987,0,3310735,0,3767664,0,23507,0,72768781,0,33098462,0,34686017,0,41260415,0,6574398,0,33095170,0,39685207,0,6590037,0,769781,0,59143,0,132259,1,3839,0,56361,0,518179,0,844983,0,987822,0,142839,0,-23918,0,44624,1,68542,1,5558,1,5558,0,0
2013,3,1,3,0,1895727,0,52999238,0,21197210,0,2753971,0,12260,0,3889397,1,180,1,2773,0,2008703,0,4050450,0,114145,0,1404744,0,106780507,0,92441772,0,74755,1,6061,0,630576,0,7092315,0,5103366,0,562970,0,52999238,0,4599147,0,6693192,0,9828889,0,45257068,0,13382381,0,3484335,0,-30245774,0,8854795,0,32037737,0,-68284441,0,2853866,0,528243744,0,518995048,0,709,0,600317,0,8647670,0,479952226,0,163382713,0,62185500,0,75740821,0,4981639,0,397845,0,23461403,0,15853618,0,1864807,0,394900,0,4609792,1,14516,0,5338363,0,2901144,0,4335991,0,120556,0,114368617,0,48291518,0,50072089,0,60603960,0,10531871,0,48290809,0,58775174,0,10484365,0,1377310,0,12950,0,167583,0,355371,0,6973,0,834432,0,368760,0,476028,0,107268,0,35209,1,35653,1,444,1,1628,1,1628,0,0
