,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,0,Prepackaged software,72268924053.12727,ENS1,0.55000,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Computers and Software,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.57972,0.60800,0.59895,1.00000,1.00000,1.00000
1,1,Custom software,197240164684.60291,ENS2,0.33000,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Computers and Software,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.35972,0.38800,0.37895,1.00000,1.00000,1.00000
2,2,Mainframes,17413293618.87355,EP1A,0.46330,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Computers and Software,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.49302,0.52130,0.51225,1.00000,1.00000,1.00000
3,3,PCs,53550810953.45985,EP1B,0.46330,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Computers and Software,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.49302,0.52130,0.51225,1.00000,1.00000,1.00000
4,4,DASDs,0.00000,EP1C,0.46330,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Computers and Software,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.49302,0.52130,0.51225,1.00000,1.00000,1.00000
5,5,Printers,9260043910.94578,EP1D,0.46330,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Computers and Software,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.49302,0.52130,0.51225,1.00000,1.00000,1.00000
6,6,Terminals,12396994619.05792,EP1E,0.46330,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Computers and Software,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.49302,0.52130,0.51225,1.00000,1.00000,1.00000
7,7,Tape drives,0.00000,EP1F,0.46330,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Computers and Software,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.49302,0.52130,0.51225,1.00000,1.00000,1.00000
8,8,Storage devices,7998988409.10011,EP1G,0.46330,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Computers and Software,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.49302,0.52130,0.51225,1.00000,1.00000,1.00000
9,9,System integrators,28310184524.93624,EP1H,0.46330,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Computers and Software,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.49302,0.52130,0.51225,1.00000,1.00000,1.00000
10,10,Special industrial machinery,277678587240.98022,EI40,0.10310,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Industrial Machinery,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.13282,0.16110,0.15205,1.00000,1.00000,1.00000
11,11,General industrial equipment,476419502162.85541,EI50,0.10720,0.10739,0.14910,0.13575,Equipment,-0.48048,0.00000,-0.09335,-0.06267,0.11451,0.08009,Industrial Machinery,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.13692,0.16520,0.15615,1.00000,1.00000,1.00000
12,12,Office and accounting equipment,7268611167.04590,EP12,0.31190,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Instruments and Communications Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.34162,0.36990,0.36085,1.00000,1.00000,1.00000
13,13,Communications,498336136105.87726,EP20,0.11290,0.10739,0.14910,0.13575,Equipment,-0.48048,-0.00000,-0.09335,-0.06267,0.11451,0.08009,Instruments and Communications Equipment,0.02972,0.05800,0.04895,corporate,-0.00186,0.00664,0.00392,0.14262,0.17090,0.16185,1.00000,1.00000,1.00000
