,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,0,Prepackaged software,72268924053.12727,ENS1,0.55000,0.22731,0.30888,0.28263,Equipment,-0.46947,0.24262,0.13131,-0.05453,0.32936,0.26915,Computers and Software,0.02994,0.07658,0.06161,corporate,-0.00163,0.02522,0.01658,0.57994,0.62658,0.61161,0.96827,0.94325,0.95105
1,1,Custom software,197240164684.60291,ENS2,0.33000,0.21510,0.28703,0.26379,Equipment,-0.68044,0.16973,0.04106,-0.20593,0.26482,0.19322,Computers and Software,0.02618,0.06986,0.05581,corporate,-0.00539,0.01850,0.01078,0.35618,0.39986,0.38581,0.96827,0.94325,0.95105
2,2,Mainframes,17413293618.87355,EP1A,0.46330,0.23130,0.31595,0.28875,Equipment,-0.41160,0.26352,0.15707,-0.01300,0.34786,0.29083,Computers and Software,0.03117,0.07875,0.06349,corporate,-0.00041,0.02739,0.01847,0.49447,0.54205,0.52679,0.95786,0.92607,0.93585
3,3,PCs,53550810953.45985,EP1B,0.46330,0.23130,0.31595,0.28875,Equipment,-0.41160,0.26352,0.15707,-0.01300,0.34786,0.29083,Computers and Software,0.03117,0.07875,0.06349,corporate,-0.00041,0.02739,0.01847,0.49447,0.54205,0.52679,0.95786,0.92607,0.93585
4,4,DASDs,0.00000,EP1C,0.46330,0.23130,0.31595,0.28875,Equipment,-0.41160,0.26352,0.15707,-0.01300,0.34786,0.29083,Computers and Software,0.03117,0.07875,0.06349,corporate,-0.00041,0.02739,0.01847,0.49447,0.54205,0.52679,0.95786,0.92607,0.93585
5,5,Printers,9260043910.94578,EP1D,0.46330,0.23130,0.31595,0.28875,Equipment,-0.41160,0.26352,0.15707,-0.01300,0.34786,0.29083,Computers and Software,0.03117,0.07875,0.06349,corporate,-0.00041,0.02739,0.01847,0.49447,0.54205,0.52679,0.95786,0.92607,0.93585
6,6,Terminals,12396994619.05792,EP1E,0.46330,0.23130,0.31595,0.28875,Equipment,-0.41160,0.26352,0.15707,-0.01300,0.34786,0.29083,Computers and Software,0.03117,0.07875,0.06349,corporate,-0.00041,0.02739,0.01847,0.49447,0.54205,0.52679,0.95786,0.92607,0.93585
7,7,Tape drives,0.00000,EP1F,0.46330,0.23130,0.31595,0.28875,Equipment,-0.41160,0.26352,0.15707,-0.01300,0.34786,0.29083,Computers and Software,0.03117,0.07875,0.06349,corporate,-0.00041,0.02739,0.01847,0.49447,0.54205,0.52679,0.95786,0.92607,0.93585
8,8,Storage devices,7998988409.10011,EP1G,0.46330,0.23130,0.31595,0.28875,Equipment,-0.41160,0.26352,0.15707,-0.01300,0.34786,0.29083,Computers and Software,0.03117,0.07875,0.06349,corporate,-0.00041,0.02739,0.01847,0.49447,0.54205,0.52679,0.95786,0.92607,0.93585
9,9,System integrators,28310184524.93624,EP1H,0.46330,0.23130,0.31595,0.28875,Equipment,-0.41160,0.26352,0.15707,-0.01300,0.34786,0.29083,Computers and Software,0.03117,0.07875,0.06349,corporate,-0.00041,0.02739,0.01847,0.49447,0.54205,0.52679,0.95786,0.92607,0.93585
10,10,Special industrial machinery,277678587240.98022,EI40,0.10310,0.20805,0.27634,0.25408,Equipment,-0.83220,0.12870,-0.01319,-0.31484,0.22848,0.14759,Industrial Machinery,0.02401,0.06657,0.05282,corporate,-0.00756,0.01521,0.00780,0.12711,0.16967,0.15592,0.94254,0.90124,0.91376
11,11,General industrial equipment,476419502162.85541,EI50,0.10720,0.20846,0.27705,0.25469,Equipment,-0.82257,0.13154,-0.00955,-0.30793,0.23100,0.15065,Industrial Machinery,0.02414,0.06678,0.05301,corporate,-0.00743,0.01543,0.00799,0.13134,0.17398,0.16021,0.94254,0.90124,0.91376
12,12,Office and accounting equipment,7268611167.04590,EP12,0.31190,0.22014,0.29636,0.27175,Equipment,-0.58643,0.20248,0.08141,-0.13847,0.29382,0.22717,Instruments and Communications Equipment,0.02774,0.07273,0.05826,corporate,-0.00384,0.02137,0.01324,0.33964,0.38463,0.37016,0.95786,0.92607,0.93585
13,13,Communications,498336136105.87726,EP20,0.11290,0.20903,0.27804,0.25555,Equipment,-0.80935,0.13546,-0.00453,-0.29844,0.23448,0.15487,Instruments and Communications Equipment,0.02432,0.06709,0.05328,corporate,-0.00726,0.01573,0.00825,0.13722,0.17999,0.16618,0.94254,0.90124,0.91376
14,14,Photocopy and related equipment,25020946205.02676,EP31,0.18000,0.21041,0.27929,0.25695,Equipment,-0.77832,0.14042,0.00348,-0.27617,0.23886,0.16161,Instruments and Communications Equipment,0.02474,0.06747,0.05371,corporate,-0.00683,0.01612,0.00868,0.20474,0.24747,0.23371,0.95786,0.92607,0.93585
15,15,Nonelectro medical instruments,133227504586.31784,EP34,0.13500,0.21126,0.28186,0.25889,Equipment,-0.75987,0.15035,0.01445,-0.26293,0.24766,0.17084,Instruments and Communications Equipment,0.02500,0.06826,0.05430,corporate,-0.00657,0.01691,0.00928,0.16000,0.20326,0.18930,0.94254,0.90124,0.91376
16,16,Electro medical instruments,75049828223.00996,EP35,0.13500,0.21126,0.28186,0.25889,Equipment,-0.75987,0.15035,0.01445,-0.26293,0.24766,0.17084,Instruments and Communications Equipment,0.02500,0.06826,0.05430,corporate,-0.00657,0.01691,0.00928,0.16000,0.20326,0.18930,0.94254,0.90124,0.91376
