,index,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,0,Prepackaged software,72268924053.12727,ENS1,0.55,0.10739399999999984,0.14910000000000018,0.13575407999999972,Equipment,-0.4804845222072697,8.374527125405268e-16,-0.09335163757599668,-0.0625250837683244,0.11445780773072707,0.08007242801344899,Computers and Software,0.029719999999999965,0.05800000000000005,0.04895039999999994,corporate,-0.001858245489594599,0.006638552848382176,0.003919577380229529,0.57972,0.6080000000000001,0.5989504,1.0,1.0,1.0
1,1,Custom software,197240164684.6029,ENS2,0.3300000000000001,0.10739400000000013,0.14910000000000004,0.13575408000000008,Equipment,-0.4804845222072663,1.1963610179150392e-16,-0.09335163757599498,-0.06252508376832192,0.11445780773072643,0.08007242801345042,Computers and Software,0.029720000000000035,0.05800000000000001,0.04895040000000002,corporate,-0.0018582454895945295,0.006638552848382134,0.003919577380229605,0.35972000000000015,0.3880000000000001,0.37895040000000013,1.0,1.0,1.0
2,2,Mainframes,17413293618.87355,EP1A,0.4632999999999999,0.10739399999999985,0.1490999999999999,0.13575408,Equipment,-0.48048452220726956,-3.589083053745119e-16,-0.09335163757599528,-0.06252508376832427,0.11445780773072602,0.08007242801345016,Computers and Software,0.02971999999999997,0.05799999999999998,0.048950400000000005,corporate,-0.0018582454895945955,0.006638552848382107,0.003919577380229591,0.49301999999999985,0.5212999999999999,0.5122503999999999,1.0,1.0,1.0
3,3,PCs,53550810953.459854,EP1B,0.4633,0.10739399999999984,0.1491,0.13575408,Equipment,-0.4804845222072697,0.0,-0.09335163757599528,-0.0625250837683244,0.11445780773072634,0.08007242801345016,Computers and Software,0.029719999999999965,0.058,0.048950400000000005,corporate,-0.001858245489594599,0.006638552848382127,0.003919577380229591,0.49301999999999996,0.5213,0.5122504,1.0,1.0,1.0
4,4,DASDs,0.0,EP1C,0.46330000000000005,0.10739399999999988,0.14910000000000004,0.13575408,Equipment,-0.4804845222072694,1.1963610179150392e-16,-0.09335163757599528,-0.06252508376832415,0.11445780773072643,0.08007242801345016,Computers and Software,0.029719999999999972,0.05800000000000001,0.048950400000000005,corporate,-0.001858245489594592,0.006638552848382134,0.003919577380229591,0.49302,0.5213000000000001,0.5122504000000001,1.0,1.0,1.0
5,5,Printers,9260043910.945778,EP1D,0.46329999999999993,0.10739399999999988,0.14910000000000004,0.13575408000000005,Equipment,-0.4804845222072694,1.1963610179150392e-16,-0.09335163757599513,-0.06252508376832415,0.11445780773072643,0.0800724280134503,Computers and Software,0.029719999999999972,0.05800000000000001,0.04895040000000001,corporate,-0.001858245489594592,0.006638552848382134,0.003919577380229598,0.4930199999999999,0.5213,0.5122504,1.0,1.0,1.0
6,6,Terminals,12396994619.057922,EP1E,0.46330000000000005,0.10739399999999984,0.1490999999999999,0.13575408,Equipment,-0.4804845222072699,-3.589083053745119e-16,-0.09335163757599528,-0.06252508376832452,0.11445780773072602,0.08007242801345016,Computers and Software,0.02971999999999996,0.05799999999999998,0.048950400000000005,corporate,-0.0018582454895946024,0.006638552848382107,0.003919577380229591,0.49302,0.5213,0.5122504000000001,1.0,1.0,1.0
7,7,Tape drives,0.0,EP1F,0.46330000000000005,0.10739399999999988,0.14910000000000004,0.13575408,Equipment,-0.4804845222072694,1.1963610179150392e-16,-0.09335163757599528,-0.06252508376832415,0.11445780773072643,0.08007242801345016,Computers and Software,0.029719999999999972,0.05800000000000001,0.048950400000000005,corporate,-0.001858245489594592,0.006638552848382134,0.003919577380229591,0.49302,0.5213000000000001,0.5122504000000001,1.0,1.0,1.0
8,8,Storage devices,7998988409.100113,EP1G,0.4633,0.1073939999999999,0.14909999999999998,0.13575408000000005,Equipment,-0.48048452220726917,-1.1963610179150395e-16,-0.09335163757599513,-0.06252508376832402,0.11445780773072622,0.0800724280134503,Computers and Software,0.029719999999999976,0.057999999999999996,0.04895040000000001,corporate,-0.0018582454895945885,0.0066385528483821205,0.003919577380229598,0.49301999999999996,0.5213,0.5122504,1.0,1.0,1.0
9,9,System integrators,28310184524.93624,EP1H,0.4633000000000001,0.10739399999999985,0.14909999999999998,0.13575407999999997,Equipment,-0.48048452220726956,-1.1963610179150395e-16,-0.09335163757599543,-0.06252508376832427,0.11445780773072622,0.08007242801345003,Computers and Software,0.02971999999999997,0.057999999999999996,0.0489504,corporate,-0.0018582454895945955,0.0066385528483821205,0.003919577380229584,0.49302000000000007,0.5213000000000001,0.5122504000000001,1.0,1.0,1.0
