,asset_name,assets,bea_asset_code,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,minor_asset_group,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,Prepackaged software,0.0,ENS1,0.0,0.11991985819588245,0.15978464902582862,0.14687786873968833,Equipment,0.01101241770847955,0.2426210264963429,0.2246590982743342,0.008586369601961519,0.21426482993867796,0.19228934954535043,Computers and Software,0.00022272559873305273,0.018579892007947282,0.012659430381442564,corporate,0.00022272559873305273,0.018579892007947282,0.012659430381442564,0.00022272559873304232,0.018579892007947296,0.012659430381442571,-0.03173208217255352,-0.056752489685929275,-0.048947432318617534
1,Custom software,0.0,ENS2,0.0,0.10770300655944934,0.1379349404967458,0.12803310729702047,Equipment,-0.19995061624967864,0.16973132158615095,0.13440849174522515,-0.1559012687956559,0.14989406845771414,0.11504239823619734,Computers and Software,-0.003536305674015583,0.011856904768229481,0.006861042245237099,corporate,-0.003536305674015583,0.011856904768229481,0.006861042245237099,-0.003536305674015583,0.011856904768229481,0.006861042245237092,-0.0317320821725533,-0.05675248968592905,-0.04894743231861731
2,Mainframes,0.0,EP1A,0.0,0.12390970264779969,0.16684548821740608,0.15299655049514882,Equipment,0.06888754931907132,0.2635150503614907,0.25041745519612024,0.05371154410274942,0.232716876469229,0.21433634312759556,Computers and Software,0.0014503700454768197,0.020752457913048014,0.014542101690815032,corporate,0.0014503700454768197,0.020752457913048014,0.014542101690815032,0.0014503700454768231,0.020752457913048028,0.014542101690815046,-0.04213763054844111,-0.07393109338456738,-0.0641478862753283
3,PCs,0.0,EP1B,0.0,0.1239097026477997,0.16684548821740608,0.15299655049514888,Equipment,0.06888754931907148,0.26351505036149064,0.25041745519612046,0.05371154410274956,0.23271687646922892,0.21433634312759572,Computers and Software,0.0014503700454768231,0.02075245791304802,0.014542101690815046,corporate,0.0014503700454768231,0.02075245791304802,0.014542101690815046,0.0014503700454768231,0.020752457913048028,0.014542101690815046,-0.042137630548440996,-0.07393109338456694,-0.06414788627532841
4,DASDs,0.0,EP1C,0.0,0.12390970264779969,0.16684548821740605,0.15299655049514882,Equipment,0.06888754931907148,0.26351505036149064,0.25041745519612024,0.05371154410274953,0.23271687646922895,0.21433634312759556,Computers and Software,0.0014503700454768231,0.020752457913048028,0.014542101690815032,corporate,0.0014503700454768231,0.020752457913048028,0.014542101690815032,0.0014503700454768231,0.020752457913048028,0.014542101690814935,-0.042137630548440885,-0.07393109338456749,-0.0641478862753283
5,Printers,0.0,EP1D,0.0,0.12390970264779971,0.16684548821740605,0.15299655049514888,Equipment,0.06888754931907165,0.26351505036149064,0.25041745519612046,0.053711544102749656,0.23271687646922895,0.2143363431275957,Computers and Software,0.0014503700454768266,0.020752457913048028,0.014542101690815053,corporate,0.0014503700454768266,0.020752457913048028,0.014542101690815053,0.0014503700454768231,0.020752457913048028,0.014542101690815046,-0.042137630548440774,-0.07393109338456705,-0.06414788627532819
6,Terminals,0.0,EP1E,0.0,0.12390970264779964,0.1668454882174062,0.15299655049514888,Equipment,0.06888754931907132,0.263515050361491,0.25041745519612046,0.05371154410274945,0.23271687646922923,0.21433634312759572,Computers and Software,0.0014503700454768197,0.020752457913048042,0.014542101690815046,corporate,0.0014503700454768197,0.020752457913048042,0.014542101690815046,0.0014503700454768231,0.02075245791304814,0.014542101690814935,-0.042137630548440885,-0.07393109338456727,-0.0641478862753283
7,Tape drives,0.0,EP1F,0.0,0.12390970264779969,0.16684548821740605,0.15299655049514882,Equipment,0.06888754931907148,0.26351505036149064,0.25041745519612024,0.05371154410274953,0.23271687646922895,0.21433634312759556,Computers and Software,0.0014503700454768231,0.020752457913048028,0.014542101690815032,corporate,0.0014503700454768231,0.020752457913048028,0.014542101690815032,0.0014503700454768231,0.020752457913048028,0.014542101690814935,-0.042137630548440885,-0.07393109338456749,-0.0641478862753283
8,Storage devices,0.0,EP1G,0.0,0.12390970264779963,0.166845488217406,0.15299655049514882,Equipment,0.0688875493190711,0.2635150503614906,0.2504174551961203,0.05371154410274927,0.23271687646922892,0.21433634312759559,Computers and Software,0.0014503700454768162,0.020752457913048014,0.014542101690815039,corporate,0.0014503700454768162,0.020752457913048014,0.014542101690815039,0.0014503700454768231,0.020752457913048028,0.014542101690815046,-0.042137630548440996,-0.07393109338456705,-0.06414788627532819
9,System integrators,0.0,EP1H,0.0,0.12390970264779974,0.1668454882174061,0.1529965504951489,Equipment,0.06888754931907182,0.26351505036149075,0.2504174551961206,0.053711544102749795,0.23271687646922903,0.21433634312759586,Computers and Software,0.00145037004547683,0.020752457913048028,0.014542101690815053,corporate,0.00145037004547683,0.020752457913048028,0.014542101690815053,0.0014503700454768231,0.020752457913048028,0.014542101690815046,-0.042137630548440996,-0.07393109338456716,-0.0641478862753283
