,Industry,assets,bea_ind_code,delta,eatr_d,eatr_e,eatr_mix,major_industry,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,rho_d,rho_e,rho_mix,tax_treat,tax_wedge_d,tax_wedge_e,tax_wedge_mix,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
0,Accommodation,0.0,7210,0.0,0.09527384595285035,0.14020714870225737,0.12554862914658882,Accommodation and food services,-0.20655511159784865,0.14166783819061865,0.10890824195382506,-0.16105078633077063,0.12511048896312615,0.09321632271423186,-0.00565367260540265,0.015742851075510628,0.008804463932515015,corporate,-0.00565367260540265,0.015742851075510628,0.008804463932515015,-0.005653672605402657,0.015742851075510628,0.008804463932515008,0.023744850087689562,-0.0054233629591271815,0.0007035563196285954
1,Food services and drinking places,0.0,7220,0.0,0.09772179788334429,0.13804846293894468,0.12476722825524231,Accommodation and food services,-0.2160931070920364,0.14389744466086246,0.10914741987751456,-0.16848755060387655,0.12707951142616553,0.09342103896087012,-0.005322123519102478,0.01426942971776915,0.007878650306134535,corporate,-0.005322123519102478,0.01426942971776915,0.007878650306134535,-0.005322123519102467,0.01426942971776915,0.00787865030613455,0.009617346129097926,-0.028801555412820534,-0.019819002620515336
2,Administrative and support services,0.0,5610,0.0,0.10016294132225068,0.13325298758427573,0.12231342195533695,Administrative and waste management services,-0.2537127448170295,0.14092583087306723,0.10202443005540297,-0.19781953948675032,0.12445520333514784,0.08732435696475771,-0.005203073175668867,0.011619884334835281,0.006124872065431754,corporate,-0.005203073175668867,0.011619884334835281,0.006124872065431754,-0.005203073175668871,0.011619884334835295,0.0061248720654317745,-0.009674498889895022,-0.04573779949458667,-0.036467224961929
3,Waste management and remediation services,0.0,5620,0.0,0.09885968250648913,0.13397014534487853,0.1222224738537841,Administrative and waste management services,-0.2983481575042382,0.14537674004289874,0.10193167766311272,-0.23262172015352156,0.12838591498911417,0.0872449686946219,-0.005742012400835519,0.011602204788904863,0.005892688016480241,corporate,-0.005742012400835519,0.011602204788904863,0.005892688016480241,-0.005742012400835522,0.011602204788904863,0.005892688016480241,-0.07636899077835002,-0.13152038736717386,-0.11666285781994923
4,Farms,0.0,110C,0.0,0.09896043835806578,0.13791124374127034,0.12518920442923726,"Agriculture, forestry, fishing, and hunting",-0.22992265278698087,0.1491825555379591,0.11284558985372287,-0.179270431702963,0.13174692793017262,0.0965863623539378,-0.005228361401754502,0.013643312111895733,0.007525528095322059,corporate,-0.005228361401754502,0.013643312111895733,0.007525528095322059,-0.0052283614017545055,0.013643312111895733,0.007525528095322059,-0.05515416225381048,-0.08644832398858932,-0.0775875009189273
5,"Forestry, fishing, and related activities",0.0,113F,0.0,0.09657640741332263,0.13627056103507432,0.12334697439724979,"Agriculture, forestry, fishing, and hunting",-0.25687264596638404,0.1419236215141502,0.10460002681597119,-0.2002833108303609,0.12533637775400752,0.08952885181755912,-0.005870038709336407,0.013426342059855531,0.00718209083476231,corporate,-0.005870038709336407,0.013426342059855531,0.00718209083476231,-0.005870038709336403,0.013426342059855545,0.007182090834762317,-0.018719307095768967,-0.04155806972874243,-0.035326335152374266
6,"Performing arts, spectator sports, museums, and related activities",0.0,711A,0.0,0.09858364253576574,0.13567035865771596,0.1234560799461836,"Arts, entertainment, and recreation",-0.28832007313232333,0.14894368200093044,0.10737357643198206,-0.22480283413809066,0.1315359726039694,0.09190277771546879,-0.005728476186082486,0.01231664812329629,0.006431803125669912,corporate,-0.005728476186082486,0.01231664812329629,0.006431803125669912,-0.005728476186082479,0.012316648123296303,0.006431803125669933,-0.0242992559402877,-0.07830415070509811,-0.06421111631585685
7,"Amusements, gambling, and recreation industries",0.0,7130,0.0,0.09546898272457062,0.12864390906595854,0.11766471431009026,"Arts, entertainment, and recreation",-0.3246336945011577,0.12466444908287073,0.08052446612811147,-0.2531165235487649,0.11009436143220216,0.06892219070225877,-0.006543981764571438,0.010425586796997177,0.004881549512534895,corporate,-0.006543981764571438,0.010425586796997177,0.004881549512534895,-0.006543981764571438,0.010425586796997177,0.004881549512534902,-0.023358633664979478,-0.05679480864798869,-0.04764501216985917
8,Construction,0.0,2300,0.0,0.09840340583956397,0.13624326354663097,0.12391142694829482,Construction,-0.2324668701459109,0.1433405853321565,0.10727103842394484,-0.18125415509321158,0.12658773471955456,0.0918150137788172,-0.0053469976578898945,0.01325458751309129,0.007232325328199153,corporate,-0.0053469976578898945,0.01325458751309129,0.007232325328199153,-0.005346997657889888,0.013254587513091276,0.007232325328199174,-0.01914540419776939,-0.043392578362625556,-0.03676203519251098
9,Educational services,0.0,6100,0.0,0.09563590423206333,0.13574567190962933,0.12227208360831829,Educational services,-0.23884756286691275,0.1362098231018012,0.09927283568659633,-0.1862291739736598,0.12029037633028378,0.08496922291741812,-0.005891814467839401,0.013764564659900808,0.0072656070338137785,corporate,-0.005891814467839401,0.013764564659900808,0.0072656070338137785,-0.005891814467839401,0.013764564659900808,0.0072656070338137785,0.03965389354985427,-0.01389313871248482,-0.002481397414744957
10,Credit intermediation and related activities,0.0,5220,0.0,0.10043887565344682,0.13617609074970308,0.12430580961352405,Finance and insurance,-0.22367639821535412,0.1465571710300091,0.11002374881425606,-0.1744002340951632,0.12942838376587276,0.0941711030469817,-0.004920721252400801,0.012872398143378344,0.007039334541845625,corporate,-0.004920721252400801,0.012872398143378344,0.007039334541845625,-0.004920721252400784,0.012872398143378372,0.007039334541845632,0.00037416839418780157,-0.04354424567295723,-0.03277022138362651
11,"Securities, commodity contracts, and investments",0.0,5230,0.0,0.09664106536220485,0.13838723060719577,0.12472265661430881,Finance and insurance,-0.21616769542150158,0.14210400963236153,0.10798499135374352,-0.16854570703979593,0.12549568311195464,0.09242609761887316,-0.005510208420460322,0.014660564806441997,0.008106557937244713,corporate,-0.005510208420460322,0.014660564806441997,0.008106557937244713,-0.005510208420460322,0.014660564806442011,0.008106557937244713,0.015829729052326214,-0.014960893048509227,-0.008094580789275885
12,Insurance carriers and related activities,0.0,5240,0.0,0.09912574838746066,0.13741933152079353,0.12473114035557026,Finance and insurance,-0.20655255737875847,0.14431032036013294,0.10976785601453987,-0.16104879480904186,0.12744413250937303,0.09395208026807483,-0.00499359358495997,0.013855910300591023,0.00768305656528058,corporate,-0.00499359358495997,0.013855910300591023,0.00768305656528058,-0.00499359358495996,0.013855910300591023,0.007683056565280594,0.021113589685847867,-0.022803991083889197,-0.012925932119792871
13,"Funds, trusts, and other financial vehicles",0.0,5250,0.0,0.09533145486252936,0.1397220461160202,0.12507238719300576,Finance and insurance,-0.20226608229432058,0.1400719187898481,0.10712329710781318,-0.1577066350455012,0.12370109174830118,0.09168855960091765,-0.005599685322908485,0.015648651705633523,0.00870317043939383,corporate,-0.005599685322908485,0.015648651705633523,0.00870317043939383,-0.005599685322908485,0.015648651705633523,0.008703170439393837,0.04009361640818698,-0.0020588220842714944,0.006551380909916638
14,Ambulatory health care services,0.0,6210,0.0,0.09899671675009955,0.13630929943371206,0.12386781181745107,Health care and social assistance,-0.22684474893284862,0.14379978095891693,0.1072205198185623,-0.1768705935574727,0.1269932621146746,0.09177177408879997,-0.0051961404269258195,0.013245138400377249,0.007182096859382786,corporate,-0.0051961404269258195,0.013245138400377249,0.007182096859382786,-0.005196140426925816,0.013245138400377249,0.007182096859382758,0.009395908835046818,-0.03896696589001769,-0.02754368637655058
